start station name,tripduration,start station id,start station latitude,start station longitude,end station id,end station latitude,end station longitude,bikeid,birth year,gender,Month,Year
Essex Light Rail,433.2455516014235,3214.0,40.71277419999986,-74.03648569999994,3277.391459074733,40.71900766011888,-74.03985656130573,28193.227758007117,1979.4270462633451,1.1921708185053381,February,2019
Exchange Place,1096.4161162483488,3183.0,40.71624689999972,-74.03345879999891,3298.6393659180976,40.71774420754275,-74.04046157903042,28288.200792602376,1978.9775429326287,1.0620871862615588,February,2019
Fairmount Ave,432.0344827586207,3678.0,40.72572613742552,-74.07195925712584,3220.7655172413793,40.72945424869921,-74.06202553171735,28256.21379310345,1984.5862068965516,1.096551724137931,February,2019
Glenwood Ave,416.3627450980392,3677.0,40.72755146730014,-74.07106071710588,3226.872549019608,40.7281239033939,-74.06008773392351,28576.098039215685,1982.9607843137255,1.1372549019607843,February,2019
Grand St,455.07089552238807,3681.0,40.715177677320234,-74.03768330812454,3273.3246268656717,40.718868312955365,-74.03955474144485,28213.361940298506,1979.2350746268658,1.1343283582089552,February,2019
Grove St PATH,510.04495300367796,3186.0,40.71958611647006,-74.0431174635887,3263.5124642419287,40.721839287363785,-74.0473178057285,28317.107069881487,1980.2582754393134,1.1691867592970986,February,2019
Hamilton Park,449.89237199582027,3203.0,40.7275959659995,-74.04424731100112,3238.5287356321837,40.72126901578271,-74.04217119420152,28214.477533960293,1980.5663531870428,1.2497387669801463,February,2019
Harborside,1212.7973372781064,3639.0,40.71925170000026,-74.0342339999993,3247.4778106508875,40.72190898707381,-74.03986489629291,28197.751479289942,1981.2218934911243,1.1242603550295858,February,2019
Heights Elevator,761.7941176470588,3198.0,40.74871594538026,-74.04044330120088,3230.5686274509803,40.73256950105196,-74.04482233183039,28360.696078431374,1983.3823529411766,1.2843137254901962,February,2019
Hilltop,566.8409090909091,3206.0,40.731168899999915,-74.0575735999999,3267.4848484848485,40.72674191561099,-74.05007869650221,28177.015151515152,1982.219696969697,1.1893939393939394,February,2019
JC Medical Center,395.6718146718147,3205.0,40.71653978099187,-74.0496379137039,3233.5212355212357,40.71917474768752,-74.04334654874462,28170.741312741313,1980.6988416988418,1.1235521235521235,February,2019
JCBS Depot,478.1666666666667,3426.0,40.70965083364061,-74.0686011314392,3345.8333333333335,40.71265365850569,-74.06022783155758,27898.833333333332,1990.8333333333333,1.0,February,2019
Jackson Square,29481.85,3694.0,40.71113000000001,-74.07889999999999,3318.15,40.71992979278815,-74.05605504092884,28822.35,1979.85,1.1,February,2019
Jersey & 3rd,344.8329809725159,3272.0,40.7233315864647,-74.04595255851744,3266.811839323467,40.72236936960272,-74.04375193570102,28334.154334038056,1978.7124735729387,1.245243128964059,February,2019
Jersey & 6th St,293.8117154811716,3270.0,40.72528910781117,-74.04557168483734,3219.328451882845,40.72022285816833,-74.04273520404277,28366.66527196653,1977.0732217573222,1.1694560669456067,February,2019
Journal Square,660.9088669950739,3640.0,40.73366999999975,-74.0625,3261.4950738916255,40.73501119785739,-74.05471391820429,28187.495073891627,1982.5665024630541,1.1699507389162562,February,2019
Lafayette Park,528.8,3268.0,40.71346382669198,-74.06285852193831,3218.4444444444443,40.715836609468106,-74.04863155039718,28398.455555555556,1986.7222222222222,1.1,February,2019
Leonard Gordon Park,1535.3432835820895,3281.0,40.74590996631559,-74.05727148056029,3427.5149253731342,40.73064337765806,-74.0536107519935,28313.514925373136,1980.6268656716418,1.1044776119402986,February,2019
Liberty Light Rail,1114.8439716312057,3192.0,40.7112422999999,-74.05570129999981,3231.400709219858,40.71778542125492,-74.0450821205663,28346.542553191488,1979.8652482269504,1.124113475177305,February,2019
Lincoln Park,704.7928571428571,3193.0,40.72460509988682,-74.07840594649316,3219.6285714285714,40.72897513816264,-74.06404532263112,28420.485714285714,1982.5214285714285,1.2714285714285714,February,2019
Manila & 1st,428.3312883435583,3273.0,40.721650724879936,-74.04288411140442,3266.6840490797545,40.72336503379292,-74.0441418088226,28418.953987730063,1980.8251533742332,1.1595092024539877,February,2019
Marin Light Rail,460.1384928716904,3276.0,40.71458403535874,-74.04281705617905,3245.2912423625253,40.71890991955342,-74.04101562550967,28412.36863543788,1983.193482688391,1.140529531568228,February,2019
McGinley Square,426.4916387959866,3194.0,40.725339925355605,-74.06762212514876,3249.494983277592,40.727472314060016,-74.06105984812804,28507.471571906353,1984.123745819398,1.1538461538461537,February,2019
Monmouth and 6th,338.375,3278.0,40.725685483628794,-74.0487903356552,3234.9973958333335,40.72082807401661,-74.04297111408576,28438.880208333332,1982.9947916666667,1.3125,February,2019
